IT1cds1	OPX35469.1	30.435	69	38	2	18	84	8	68	0.030	41.6	87	124	54	54	hypothetical protein B1H12_08860 [Desulfobacteraceae bacterium 4484_190.2]	d-proteobacteria	1956168	Desulfobacteraceae bacterium 4484_190.2	Bacteria
IT1cds2	WP_083222941.1	59.938	322	126	1	2	323	8	326	7.41e-135	395	337	335	96	96	2-nitropropane dioxygenase [Terasakiella sp. PR1]	a-proteobacteria	1867952	Terasakiella sp. PR1	Bacteria
IT1cds3	WP_029132292.1	55.556	198	87	1	1	197	1	198	1.63e-71	229	204	316	62	62	flavin reductase family protein [Sedimenticola selenatireducens]	g-proteobacteria	191960	Sedimenticola selenatireducens	Bacteria
IT1cds4	SDS52586.1	30.108	93	57	2	2	90	506	594	0.90	39.3	1275	116	77	77	PAS domain S-box-containing protein [Pseudomonas oryzae]	g-proteobacteria	1392877	Pseudomonas oryzae	Bacteria
IT1cds5	WP_086487364.1	59.779	271	108	1	5	275	9	278	1.03e-110	330	283	280	97	97	NAD-dependent deacetylase [Thioflexothrix psekupsii]	g-proteobacteria	1570016	Thioflexothrix psekupsii	Bacteria
IT1cds6	WP_087446551.1	45.223	157	85	1	1	157	1	156	1.13e-39	140	159	161	98	98	GNAT family N-acetyltransferase [Sulfuriferula sp. AH1]	b-proteobacteria	1985873	Sulfuriferula sp. AH1	Bacteria
IT1cds7	WP_079577421.1	46.215	251	135	0	388	638	175	425	1.69e-76	261	435	660	38	38	HAMP domain-containing protein [Arcobacter marinus]	e-proteobacteria	505249	Arcobacter marinus	Bacteria
IT1cds8	OFZ67139.1	49.077	271	137	1	19	289	8	277	2.91e-79	251	289	302	90	90	hypothetical protein A2V79_11030 [Betaproteobacteria bacterium RBG_16_56_24]	b-proteobacteria	1797475	Betaproteobacteria bacterium RBG_16_56_24	Bacteria
IT1cds9	WP_070967971.1	36.066	61	33	1	6	60	21	81	5.0	34.7	83	91	60	60	hypothetical protein [Vibrio sonorensis]	g-proteobacteria	1004316	Vibrio sonorensis	Bacteria
IT1cds10	WP_092673989.1	34.524	84	54	1	10	92	1116	1199	0.008	45.4	1235	127	65	65	PAS domain S-box protein [Siccationidurans arizonensis]	CFB group bacteria	1227077	Siccationidurans arizonensis	Bacteria
IT1cds11	WP_084636278.1	29.333	75	47	2	13	82	41	114	2.3	36.6	207	88	80	80	recombinase family protein [Enterorhabdus mucosicola]	actinobacteria	580026	Enterorhabdus mucosicola	Bacteria
IT1cds12	WP_013561490.1	32.456	114	77	0	8	121	4	117	7.12e-09	60.1	117	145	79	79	response regulator [Anaerolinea thermophila]	GNS bacteria	167964;926569	Anaerolinea thermophila;Anaerolinea thermophila UNI-1	Bacteria
IT1cds13	WP_109763245.1	50.758	132	65	0	5	136	4	135	1.97e-44	151	135	141	94	94	HIT family protein [Pleionea mediterranea]	g-proteobacteria	523701	Pleionea mediterranea	Bacteria
IT1cds14	WP_012471340.1	28.873	142	92	4	150	289	8	142	9.26e-09	64.3	172	315	44	44	chemotaxis protein CheX [Geobacter lovleyi]	d-proteobacteria	313985;398767	Geobacter lovleyi;Geobacter lovleyi SZ	Bacteria
IT1cds15	WP_009540637.1	67.463	544	176	1	1	544	1	543	0.0	768	543	544	100	100	alpha-D-glucose phosphate-specific phosphoglucomutase [Caenispirillum salinarum]	a-proteobacteria	859058;1238182	Caenispirillum salinarum;Caenispirillum salinarum AK4	Bacteria
IT1cds16	WP_036802265.1	58.537	82	29	2	18	99	8	84	4.75e-21	89.0	88	99	83	83	DUF2061 domain-containing protein [Porphyrobacter sp. HL-46]	a-proteobacteria	1479239	Porphyrobacter sp. HL-46	Bacteria
IT1cds17	WP_069127241.1	56.364	275	117	1	7	281	1	272	9.04e-113	335	275	284	97	97	class I SAM-dependent methyltransferase [Candidatus Thiodiazotropha endolucinida]	g-proteobacteria	1655433	Candidatus Thiodiazotropha endolucinida	Bacteria
IT1cds18	WP_018919853.1	53.047	279	127	3	1	278	9	284	2.69e-101	306	284	290	96	96	CPBP family intramembrane metalloprotease [Prevotella oris]	CFB group bacteria	28135	Prevotella oris	Bacteria
IT1cds19	PLX89701.1	61.692	201	77	0	1	201	4	204	2.21e-87	265	208	208	97	97	hypothetical protein C0619_10725 [Desulfuromonas sp.]	d-proteobacteria	892	Desulfuromonas sp.	Bacteria
IT1cds20	OUT51214.1	36.061	391	223	10	34	423	19	383	5.73e-64	219	383	423	92	92	hypothetical protein CBB68_06200 [Rhodospirillaceae bacterium TMED8]	a-proteobacteria	1986645	Rhodospirillaceae bacterium TMED8	Bacteria
IT1cds21	WP_041522997.1	56.936	346	149	0	1	346	1	346	7.34e-141	412	346	347	99	99	IS110 family transposase [Gilvimarinus agarilyticus]	g-proteobacteria	679259	Gilvimarinus agarilyticus	Bacteria
IT1cds22	PYJ97185.1	53.774	424	189	4	1	424	1	417	3.23e-157	463	513	436	97	97	AAA family ATPase, partial [Verrucomicrobia bacterium]	verrucomicrobia	2026799	Verrucomicrobia bacterium	Bacteria
IT1cds23	WP_062916580.1	46.875	32	15	1	40	69	66	97	4.7	35.0	238	69	43	43	hypothetical protein [Pediococcus damnosus]	firmicutes	51663	Pediococcus damnosus	Bacteria
IT1cds24	WP_093184939.1	60.800	250	97	1	16	264	11	260	2.41e-107	320	261	266	94	94	dienelactone hydrolase family protein [Thiocapsa sp. KS1]	g-proteobacteria	610332	Thiocapsa sp. KS1	Bacteria
IT1cds25	WP_078484562.1	49.342	456	223	6	27	481	160	608	3.17e-147	446	620	538	85	85	diguanylate cyclase [Solemya velesiana gill symbiont]	g-proteobacteria	1918948	Solemya velesiana gill symbiont	Bacteria
IT1cds26	WP_051929056.1	50.777	193	87	6	3	189	4	194	7.86e-57	186	195	189	99	99	DUF3365 domain-containing protein [Thermopetrobacter sp. TC1]	a-proteobacteria	1495045	Thermopetrobacter sp. TC1	Bacteria
IT1cds27	WP_092130849.1	34.494	316	169	13	245	544	950	1243	1.01e-28	132	1245	566	53	53	DUF2339 domain-containing protein [Polaromonas sp. YR568]	b-proteobacteria	1855301	Polaromonas sp. YR568	Bacteria
IT1cds28	OQW95482.1	44.118	170	87	2	17	186	8	169	1.36e-35	132	176	186	91	91	heptaprenyl diphosphate synthase [Beggiatoa sp. IS2]	g-proteobacteria	1934247	Beggiatoa sp. IS2	Bacteria
IT1cds29	OYY45499.1	32.759	116	77	1	7	121	1	116	1.00e-10	65.1	125	138	83	83	hypothetical protein B7Y56_06165 [Gallionellales bacterium 35-53-114]	b-proteobacteria	1970510;1970511;1970512	Gallionellales bacterium 24-53-125;Gallionellales bacterium 35-53-114;Gallionellales bacterium 39-52-133	Bacteria
IT1cds30	WP_066729328.1	40.653	337	168	9	13	344	19	328	6.28e-58	200	333	348	95	95	FAD:protein FMN transferase [Desulfuromonas sp. DDH964]	d-proteobacteria	1823759	Desulfuromonas sp. DDH964	Bacteria
IT1cds31	WP_092473622.1	41.961	255	134	6	54	305	2	245	3.94e-48	170	248	306	82	82	16S rRNA (uracil(1498)-N(3))-methyltransferase [Desulfotomaculum arcticum]	firmicutes	341036	Desulfallas arcticus	Bacteria
IT1cds33	WP_018623531.1	52.174	276	131	1	17	292	7	281	5.23e-88	273	286	295	94	94	4-hydroxybenzoate octaprenyltransferase [Kangiella aquimarina]	g-proteobacteria	261965	Kangiella aquimarina	Bacteria
IT1cds34	WP_028449196.1	51.155	303	139	3	22	324	6	299	3.89e-100	306	301	335	90	90	MULTISPECIES: response regulator [Chitinibacter]	b-proteobacteria	230666	Chitinibacter	Bacteria
IT1cds35	WP_107349674.1	52.742	620	268	8	12	611	3	617	0.0	627	619	620	97	97	4-hydroxy-3-polyprenylbenzoate decarboxylase [Photobacterium lutimaris]	g-proteobacteria	388278	Photobacterium lutimaris	Bacteria
IT1cds36	WP_029897964.1	36.409	401	231	7	17	405	5	393	2.06e-71	239	410	410	95	95	DUF2325 domain-containing protein [Desulfovibrio sp. L21-Syr-AB]	d-proteobacteria	1307759	Desulfovibrio sp. L21-Syr-AB	Bacteria
IT1cds38	WP_103922624.1	42.241	232	134	0	6	237	14	245	6.47e-45	160	248	240	97	97	sulfite exporter TauE/SafE family protein [Thiotrichales bacterium HS_08]	g-proteobacteria	1899563	Thiotrichales bacterium HS_08	Bacteria
IT1cds39	WP_007671812.1	29.864	442	239	17	39	424	8	434	3.40e-25	117	442	431	90	90	DUF4115 domain-containing protein [alpha proteobacterium BAL199]	a-proteobacteria	331869	alpha proteobacterium BAL199	Bacteria
IT1cds40	AHF04212.1	53.521	568	226	8	7	573	12	542	0.0	552	542	576	98	98	NAD synthetase [Marichromatium purpuratum 984]	g-proteobacteria	765910	Marichromatium purpuratum 984	Bacteria
IT1cds41	WP_054966402.1	58.659	358	140	5	1	357	1	351	6.68e-128	380	354	360	99	99	histidinol-phosphate transaminase [Thiohalorhabdus denitrificans]	g-proteobacteria	381306	Thiohalorhabdus denitrificans	Bacteria
IT1cds42	OEU44893.1	35.025	197	112	6	1	190	1	188	5.37e-21	108	901	532	71	36	hypothetical protein BBJ60_12580 [Desulfobacterales bacterium S7086C20]	d-proteobacteria	1869302	Desulfobacterales bacterium S7086C20	Bacteria
IT1cds43	WP_081822768.1	44.915	118	60	2	208	323	17	131	2.65e-20	100	270	463	25	25	type II secretion system protein [Hydrogenovibrio marinus]	g-proteobacteria	28885	Hydrogenovibrio marinus	Bacteria
IT1cds44	WP_013843427.1	36.937	111	67	2	31	139	10	119	7.46e-17	80.9	124	144	76	76	hypothetical protein [Desulfotomaculum ruminis]	firmicutes	1564;696281	Desulfotomaculum ruminis;Desulfotomaculum ruminis DSM 2154	Bacteria
